author_name,average_likes
A.R.Rahman,7043.408163265306
Aamir Khan,23027.2
Adrian,1.5
Akshay Kumar,27190.352941176472
Ali Zeck,33.49295774647887
Alicia Keys,9756.484848484848
Amitabh Bachchan,17833.23076923077
Andrés Iniesta,11676.214285714286
Anime Manga Vibes,1.63013698630137
Anton,1.36986301369863
Anushka Sharma,24000.666666666668
Ariana Grande,131765.58333333334
Avril Lavigne,10148.25
BBC Breaking News,2797.0178571428573
BBC News (World),513.381548974943
Barack Obama,323163.45454545453
BarcaBB,0.0
Bertoman,0.6666666666666666
Beverley,0.375
Bill Gates,8201.666666666666
Bob Hayssen,0.0967741935483871
"Brent A. Williams, MD",4.8
Britney Spears,28921.0
Bruno Mars,14720.0
CNN Breaking News,949.4751773049645
Cam Macdonald,1.0
Caroline,0.75
Cheryl A Duffy,0.6666666666666666
Chris Brown,77625.66666666667
Christina Hood,8.333333333333334
Christine Lee,6.25
Christopher Wright,24.19047619047619
Clara Kim,50.666666666666664
Coldplay🌙☀️,4218.0
Conan O'Brien,6164.459459459459
Cristiano Ronaldo,226952.875
David Guetta,783.5
Debra McGrath,0.0
Deepika Padukone,25487.0
Dkap,1.5
Donald J. Trump,103683.60352422908
Donna Shepherd,0.0
DotHardy,0.0
Dr Robert Laidlaw,4.578947368421052
Drizzy,7585.0
ESPN,19097.690671031098
Eddie B,1.25
El Verdadero,0.0
Ellen DeGeneres,6479.527173913043
Elon Musk,94707.26190476191
FC Barcelona (from 🏠),6823.898181818182
Francis Flannery,0.1111111111111111
Frank Broughton,0.1875
George III ✪,6.0
Going_Upstream,4.833333333333333
Google,470.64285714285717
Greg B.,0.5
Harry Styles.,364040.2
Hillary Clinton,34707.153846153844
Hrithik Roshan,27496.29411764706
Ian,0.0
Instagram,1581.6304347826087
JE,0.16666666666666666
James,9.0
Jan Wyatt,1.3333333333333333
Jane Gillette,0.0
Jared Rich,4.0
Jason J. McGuire,2.875
Joe Stojek,18.0
Joey,249002.0
Johnathan,1.0333333333333334
Jordan Davis,0.8260869565217391
Josh Eisen,1.4736842105263157
Joshua Richter,9.666666666666666
Julia Fulton,0.5
Julian Andrew,3.727272727272727
Justin Bieber,39867.806666666664
Justin Timberlake,6015.0
KATY PERRY,8884.212962962964
KENNY BASS,0.0
Kaka,31094.5
Katy Faust,21.85
Kendall,28956.8
Kevin Hart,2657.846153846154
Khloé,11383.767441860466
Kim Kardashian West,49054.757894736846
King Skydust Liger,0.8
Kourtney Kardashian,2560.3809523809523
Kylie Jenner,44359.770833333336
Kyuki,1.6764705882352942
Lady Gaga,103830.95833333333
LeBron James,146401.15384615384
Li-Ann Leow,13.0
Liam,30197.23076923077
Lil Wayne WEEZY F,6194.421052631579
Louis Tomlinson,69050.3
M. Aquarius Ross,0.27906976744186046
Mackenzie Steel,0.603448275862069
Manchester United,12251.229213483146
Mariah Carey,21287.571428571428
Marie,34.083333333333336
Marshall Mathers,113468.3
Max Thumpa,3.1911764705882355
Mesut Özil,38708.75
Mia Moretz-Richards,0.0
Michael in PA,0.5147058823529411
Michel Kb Sylla,0.0
Mick,159.0
Mike Frezon,390.5
Mike Gwizdala,1.1147540983606556
Mike Kernahan,0.5454545454545454
Miley Ray Cyrus,33788.86363636364
Mommabear Meyer,0.0
NASA,4407.428571428572
NBA,3605.2
NFL,2896.4590163934427
Narendra Modi,32398.567741935483
National Geographic,1272.9801136363637
Neil Patrick Harris,3515.8333333333335
Neymar Jr,108741.83333333333
Niall Horan,56652.38983050847
Nick Petrakis,0.27586206896551724
Nick Wall,0.0
Oprah Winfrey,3471.1176470588234
P!nk,28480.666666666668
PMO India,4584.700315457413
PRIYANKA,11450.0
Paula Johnston-Hutka,2.6666666666666665
Peter Oberacker,3.782608695652174
Pitbull,649.4230769230769
Premier League,3479.215088282504
Prophet Lisa,4.551724137931035
Real Madrid C.F.⚽,5837.01775147929
Rebecca,1.0
RickP,1.0
Ricky Martin,6956.2
RidgeHarris,14.333333333333334
Rihanna,214922.0
Rocky P,8.5
Rose C Miller,1.2
Runs for fun,0.8
SJ Maraldo,0.26666666666666666
Sachin Tendulkar,42108.17391304348
Salman Khan,46581.0
Sandra,0.0
Scott Hamilton,34.729166666666664
Selena Gomez,63817.166666666664
Shah Rukh Khan,46582.71428571428
Shakira,53308.22641509434
Shelley McElyea,2.8392857142857144
SportsCenter,24691.317708333332
State Alchemist Noah,3.1785714285714284
Stephen Kingston,0.3076923076923077
Stephen Rodgers,1.5148514851485149
Sugardaddy.,0.0
Sugoi,0.1724137931034483
Sven & Scott Sjoquist,6.0
Tammy Snyder,1.5
Taylor Swift,111795.28571428571
Team Demi,38950.2
Thurmonuclear,0.125
Tiger,1.3333333333333333
Tilly,0.0
Twitter,147283.55555555556
UEFA Champions League,6766.219239373601
Virat Kohli,106614.0
Welding Wolf,0.0
Wiz Khalifa,20365.266666666666
YouTube at 🏠,2864.7258064516127
Yukon Cornelius,0.6666666666666666
adam,0.0
gerardkassar,44.61904761904762
jimmy fallon,77354.78723404255
jlo,24649.86274509804
judge judy,0.5714285714285714
mgheen,1.0
paulyoung,0.9789473684210527
pretentious film student,0.42857142857142855
sandra,0.0
starcrossed_af,5.2
ye,62264.5
zayn,129809.5
방탄소년단,1621663.4583333333
